version,n,mean_gamerounds,std_gamerounds,retention1_rate,retention7_rate,retention_1_ci_low,retention_1_ci_high,retention_7_ci_low,retention_7_ci_high,z_ret1_stat,z_ret1_p,z_ret7_stat,z_ret7_p,levene_p,tt_stat,tt_p_one_tailed_B_gt_A,uplift_gamerounds,uplift_ret1,uplift_ret7,boot_uplift_r1_low,boot_uplift_r1_high
gate_30,39493,23.59653609500418,26.584511097215437,0.3874357481072595,0.11652697946471527,0.3826422458025687,0.39225114638754527,0.1133997624350113,0.11972878958909845,,,,,,,,,,,,
gate_40,40471,24.245978601961898,28.17279024661313,0.3844234142966569,0.11084480245113786,0.37969520982038274,0.38917355747255844,0.1078230599944974,0.11394041418619236,,,,,,,,,,,,
B_vs_A,79964,0.649442506957719,,-0.0030123338106026187,-0.0056821770135774136,,,,,0.874839935879095,0.3816610042921579,2.5311057220101403,0.011370357097863777,9.0553318353098e-07,-3.3533958410836733,0.00039931765513204936,0.027522789969804843,-0.00777505386459246,-0.048762758973753324,-0.024648403452952654,0.009901433904447277
